Year,Park,ParkVisitorCount,ParkPctChange,StateVisitorCount,StatePctChange
2012,San Juan Island NHP,"261,139",-2.09%,"7,529,549",1.49%
2012,Whitman Mission NHS,"60,785",5.51%,"7,529,549",1.49%
2012,Bluestone NSR,"36,842",-11.59%,"1,543,425",4.43%
2012,Gauley River NRA,"115,283",5.01%,"1,543,425",4.43%
2012,Harpers Ferry NHP,"263,105",3.04%,"1,543,425",4.43%
2012,New River Gorge NP & PRES,"1,128,195",5.33%,"1,543,425",4.43%
2012,Apostle Islands NL,"163,419",-7.17%,"273,933",-12.45%
2012,Saint Croix NSR,"110,514",-19.25%,"273,933",-12.45%
2012,Bighorn Canyon NRA,"113,082",22.30%,"6,194,752",4.01%
2012,Devils Tower NM,"416,994",5.51%,"6,194,752",4.01%
2012,Fort Laramie NHS,"55,199",4.31%,"6,194,752",4.01%
2012,Fossil Butte NM,"17,084",3.21%,"6,194,752",4.01%
2012,Grand Teton NP,"2,705,256",4.55%,"6,194,752",4.01%
2012,"John D. Rockefeller, Jr. MEM PKWY","1,197,750",4.33%,"6,194,752",4.01%
2012,Yellowstone NP,"1,689,387",1.57%,"6,194,752",4.01%
