PK,State,Park,ParkVisitorCount,ParkPctChange,StateVisitorCount,StatePctChange
New York Vanderbilt Mansion NHS,New York,Vanderbilt Mansion NHS,"387,856",-10.21%,"18,904,528",15.78%
New York Women's Rights NHP,New York,Women's Rights NHP,"52,683",38.13%,"18,904,528",15.78%
North Carolina Blue Ridge PKWY,North Carolina,Blue Ridge PKWY,"9,408,858",0.80%,"18,493,719",3.70%
North Carolina Cape Hatteras NS,North Carolina,Cape Hatteras NS,"2,411,711",6.03%,"18,493,719",3.70%
North Carolina Cape Lookout NS,North Carolina,Cape Lookout NS,"458,000",14.38%,"18,493,719",3.70%
North Carolina Carl Sandburg Home NHS,North Carolina,Carl Sandburg Home NHS,"80,696",11.14%,"18,493,719",3.70%
North Carolina Fort Raleigh NHS,North Carolina,Fort Raleigh NHS,"292,367",0.86%,"18,493,719",3.70%
North Carolina Great Smoky Mountains NP,North Carolina,Great Smoky Mountains NP,"4,977,626",5.60%,"18,493,719",3.70%
North Carolina Guilford Courthouse NMP,North Carolina,Guilford Courthouse NMP,"321,796",44.56%,"18,493,719",3.70%
North Carolina Moores Creek NB,North Carolina,Moores Creek NB,"83,889",-6.73%,"18,493,719",3.70%
North Carolina Wright Brothers NMEM,North Carolina,Wright Brothers NMEM,"458,776",4.94%,"18,493,719",3.70%
North Dakota Fort Union Trading Post NHS,North Dakota,Fort Union Trading Post NHS,"17,502",28.64%,"784,710",29.70%
North Dakota Knife River Indian Villages NHS,North Dakota,Knife River Indian Villages NHS,"13,328",17.15%,"784,710",29.70%
North Dakota Theodore Roosevelt NP,North Dakota,Theodore Roosevelt NP,"753,880",29.97%,"784,710",29.70%
Ohio Charles Young Buffalo Soldiers NM,Ohio,Charles Young Buffalo Soldiers NM,"10,211",155.72%,"2,818,683",7.41%
Ohio Cuyahoga Valley NP,Ohio,Cuyahoga Valley NP,"2,423,390",6.07%,"2,818,683",7.41%
Ohio Dayton Aviation Heritage NHP,Ohio,Dayton Aviation Heritage NHP,"95,334",29.55%,"2,818,683",7.41%
Ohio First Ladies NHS,Ohio,First Ladies NHS,"13,378",3.73%,"2,818,683",7.41%
Ohio Hopewell Culture NHP,Ohio,Hopewell Culture NHP,"58,058",33.20%,"2,818,683",7.41%
Ohio James A. Garfield NHS,Ohio,James A. Garfield NHS,"45,437",85.41%,"2,818,683",7.41%
Ohio Perry's Victory & Intl. Peace MEM,Ohio,Perry's Victory & Intl. Peace MEM,"142,152",-9.21%,"2,818,683",7.41%
Ohio William Howard Taft NHS,Ohio,William Howard Taft NHS,"30,723",25.99%,"2,818,683",7.41%
Oklahoma Chickasaw NRA,Oklahoma,Chickasaw NRA,"1,676,421",33.67%,"1,688,733",33.37%
Oklahoma Washita Battlefield NHS,Oklahoma,Washita Battlefield NHS,"12,312",2.03%,"1,688,733",33.37%
Oregon Crater Lake NP,Oregon,Crater Lake NP,"756,344",23.04%,"1,328,643",15.12%
Oregon John Day Fossil Beds NM,Oregon,John Day Fossil Beds NM,"210,110",7.05%,"1,328,643",15.12%
Oregon Lewis & Clark NHP,Oregon,Lewis & Clark NHP,"281,576",4.13%,"1,328,643",15.12%
Oregon Oregon Caves NM & PRES,Oregon,Oregon Caves NM & PRES,"80,613",10.87%,"1,328,643",15.12%
Pennsylvania Allegheny Portage Railroad NHS,Pennsylvania,Allegheny Portage Railroad NHS,"189,371",12.43%,"11,070,572",11.43%
Pennsylvania Delaware Water Gap NRA,Pennsylvania,Delaware Water Gap NRA,"1,066,546",-1.54%,"11,070,572",11.43%
Pennsylvania Edgar Allan Poe NHS,Pennsylvania,Edgar Allan Poe NHS,"14,827",6.96%,"11,070,572",11.43%
Pennsylvania Eisenhower NHS,Pennsylvania,Eisenhower NHS,"55,550",2.16%,"11,070,572",11.43%
Pennsylvania Flight 93 NMEM,Pennsylvania,Flight 93 NMEM,"385,123",14.21%,"11,070,572",11.43%
Pennsylvania Fort Necessity NB,Pennsylvania,Fort Necessity NB,"290,021",3.32%,"11,070,572",11.43%
Pennsylvania Friendship Hill NHS,Pennsylvania,Friendship Hill NHS,"37,847",9.11%,"11,070,572",11.43%
Pennsylvania Gettysburg NMP,Pennsylvania,Gettysburg NMP,"1,091,320",1.03%,"11,070,572",11.43%
Pennsylvania Hopewell Furnace NHS,Pennsylvania,Hopewell Furnace NHS,"54,167",5.69%,"11,070,572",11.43%
Pennsylvania Independence NHP,Pennsylvania,Independence NHP,"5,067,510",17.53%,"11,070,572",11.43%
Pennsylvania Johnstown Flood NMEM,Pennsylvania,Johnstown Flood NMEM,"154,931",-5.20%,"11,070,572",11.43%
Pennsylvania Steamtown NHS,Pennsylvania,Steamtown NHS,"99,660",11.24%,"11,070,572",11.43%
Pennsylvania Thaddeus Kosciuszko NMEM,Pennsylvania,Thaddeus Kosciuszko NMEM,"2,794",121.57%,"11,070,572",11.43%
Pennsylvania Upper Delaware S&RR,Pennsylvania,Upper Delaware S&RR,"132,181",8.68%,"11,070,572",11.43%
Pennsylvania Valley Forge NHP,Pennsylvania,Valley Forge NHP,"2,428,724",13.28%,"11,070,572",11.43%
Puerto Rico San Juan NHS,Puerto Rico,San Juan NHS,"1,456,553",-4.98%,"1,456,553",-4.98%
Rhode Island Roger Williams NMEM,Rhode Island,Roger Williams NMEM,"65,588",8.40%,"65,588",8.40%
South Carolina Charles Pinckney NHS,South Carolina,Charles Pinckney NHS,"53,184",13.17%,"1,680,015",10.58%
South Carolina Congaree NP,South Carolina,Congaree NP,"143,843",64.37%,"1,680,015",10.58%
South Carolina Cowpens NB,South Carolina,Cowpens NB,"213,299",3.17%,"1,680,015",10.58%
South Carolina Fort Sumter and Fort Moultrie NHP,South Carolina,Fort Sumter and Fort Moultrie NHP,"888,330",5.66%,"1,680,015",10.58%
South Carolina Kings Mountain NMP,South Carolina,Kings Mountain NMP,"263,357",2.44%,"1,680,015",10.58%
South Carolina Ninety Six NHS,South Carolina,Ninety Six NHS,"118,002",47.09%,"1,680,015",10.58%
South Dakota Badlands NP,South Dakota,Badlands NP,"996,263",0.70%,"4,464,251",1.51%
South Dakota Jewel Cave NM,South Dakota,Jewel Cave NM,"137,275",17.89%,"4,464,251",1.51%
South Dakota Minuteman Missile NHS,South Dakota,Minuteman Missile NHS,"133,895",33.24%,"4,464,251",1.51%
South Dakota Missouri NRR,South Dakota,Missouri NRR,"148,210",2.21%,"4,464,251",1.51%
South Dakota Mount Rushmore NMEM,South Dakota,Mount Rushmore NMEM,"2,431,231",-0.13%,"4,464,251",1.51%
South Dakota Wind Cave NP,South Dakota,Wind Cave NP,"617,377",0.85%,"4,464,251",1.51%
Tennessee Andrew Johnson NHS,Tennessee,Andrew Johnson NHS,"45,937",1.28%,"9,401,902",7.16%
Tennessee Big South Fork NRRA,Tennessee,Big South Fork NRRA,"403,982",6.47%,"9,401,902",7.16%
Tennessee Chickamauga & Chattanooga NMP,Tennessee,Chickamauga & Chattanooga NMP,"513,869",2.53%,"9,401,902",7.16%
Tennessee Fort Donelson NB,Tennessee,Fort Donelson NB,"259,343",-0.54%,"9,401,902",7.16%
Tennessee Great Smoky Mountains NP,Tennessee,Great Smoky Mountains NP,"6,335,160",5.60%,"9,401,902",7.16%
Tennessee Manhattan Project NHP,Tennessee,Manhattan Project NHP,"78,275",,"9,401,902",7.16%
Tennessee Natchez Trace PKWY,Tennessee,Natchez Trace PKWY,"765,871",1.82%,"9,401,902",7.16%
Tennessee Obed W&SR,Tennessee,Obed W&SR,"231,390",7.90%,"9,401,902",7.16%
Tennessee Shiloh NMP,Tennessee,Shiloh NMP,"421,862",18.32%,"9,401,902",7.16%
Tennessee Stones River NB,Tennessee,Stones River NB,"346,213",30.68%,"9,401,902",7.16%
Texas Alibates Flint Quarries NM,Texas,Alibates Flint Quarries NM,"8,153",-14.11%,"5,432,749",7.69%
Texas Amistad NRA,Texas,Amistad NRA,"1,164,530",-6.84%,"5,432,749",7.69%
Texas Big Bend NP,Texas,Big Bend NP,"388,290",1.71%,"5,432,749",7.69%
Texas Big Thicket NPRES,Texas,Big Thicket NPRES,"192,809",53.23%,"5,432,749",7.69%
Texas Chamizal NMEM,Texas,Chamizal NMEM,"147,937",20.83%,"5,432,749",7.69%
Texas Fort Davis NHS,Texas,Fort Davis NHS,"61,823",10.49%,"5,432,749",7.69%
Texas Guadalupe Mountains NP,Texas,Guadalupe Mountains NP,"181,839",7.26%,"5,432,749",7.69%
Texas Lake Meredith NRA,Texas,Lake Meredith NRA,"1,025,613",23.36%,"5,432,749",7.69%
Texas Lyndon B. Johnson NHP,Texas,Lyndon B. Johnson NHP,"140,303",12.26%,"5,432,749",7.69%
Texas Padre Island NS,Texas,Padre Island NS,"634,012",8.78%,"5,432,749",7.69%
Texas Palo Alto Battlefield NHP,Texas,Palo Alto Battlefield NHP,"58,556",22.33%,"5,432,749",7.69%
Texas Rio Grande W&SR,Texas,Rio Grande W&SR,463,285.83%,"5,432,749",7.69%
Texas San Antonio Missions NHP,Texas,San Antonio Missions NHP,"1,358,911",2.78%,"5,432,749",7.69%
Texas Waco Mammoth NM,Texas,Waco Mammoth NM,"69,510",238.23%,"5,432,749",7.69%
Utah Arches NP,Utah,Arches NP,"1,585,718",13.33%,"14,409,740",21.20%
Utah Bryce Canyon NP,Utah,Bryce Canyon NP,"2,365,110",35.47%,"14,409,740",21.20%
Utah Canyonlands NP,Utah,Canyonlands NP,"776,218",22.31%,"14,409,740",21.20%
Utah Capitol Reef NP,Utah,Capitol Reef NP,"1,064,904",13.16%,"14,409,740",21.20%
Utah Cedar Breaks NM,Utah,Cedar Breaks NM,"899,676",13.37%,"14,409,740",21.20%
Utah Dinosaur NM,Utah,Dinosaur NM,"79,121",4.29%,"14,409,740",21.20%
Utah Glen Canyon NRA,Utah,Glen Canyon NRA,"2,980,363",29.84%,"14,409,740",21.20%
Utah Golden Spike NHP,Utah,Golden Spike NHP,"60,027",1.49%,"14,409,740",21.20%
Utah Hovenweep NM,Utah,Hovenweep NM,"24,003",22.05%,"14,409,740",21.20%
Utah Natural Bridges NM,Utah,Natural Bridges NM,"101,843",7.43%,"14,409,740",21.20%
Utah Rainbow Bridge NM,Utah,Rainbow Bridge NM,"86,369",11.78%,"14,409,740",21.20%
Utah Timpanogos Cave NM,Utah,Timpanogos Cave NM,"91,261",-12.27%,"14,409,740",21.20%
Utah Zion NP,Utah,Zion NP,"4,295,127",17.71%,"14,409,740",21.20%
Vermont Marsh-Billings-Rockefeller NHP,Vermont,Marsh-Billings-Rockefeller NHP,"55,716",59.17%,"55,716",59.17%
Virgin Islands Buck Island Reef NM,Virgin Islands,Buck Island Reef NM,"38,929",-7.17%,"582,167",-3.81%
Virgin Islands Christiansted NHS,Virgin Islands,Christiansted NHS,"115,446",-1.17%,"582,167",-3.81%
Virgin Islands Salt River Bay NHP & Ecological Pres,Virgin Islands,Salt River Bay NHP & Ecological Pres,"16,449",102.87%,"582,167",-3.81%
Virgin Islands Virgin Islands NP,Virgin Islands,Virgin Islands NP,"411,343",-6.17%,"582,167",-3.81%
Virginia Appomattox Court House NHP,Virginia,Appomattox Court House NHP,"303,139",-26.54%,"27,092,480",16.53%
Virginia Arlington House The R.E. Lee MEM,Virginia,Arlington House The R.E. Lee MEM,"1,057,500",98.76%,"27,092,480",16.53%
Virginia Assateague Island NS,Virginia,Assateague Island NS,"1,519,440",-0.34%,"27,092,480",16.53%
Virginia Blue Ridge PKWY,Virginia,Blue Ridge PKWY,"5,766,720",0.80%,"27,092,480",16.53%
Virginia Booker T. Washington NM,Virginia,Booker T. Washington NM,"23,440",-13.84%,"27,092,480",16.53%
Virginia Colonial NHP,Virginia,Colonial NHP,"3,352,656",0.26%,"27,092,480",16.53%
Virginia Cumberland Gap NHP,Virginia,Cumberland Gap NHP,"57,427",-2.40%,"27,092,480",16.53%
Virginia Fredericksburg & Spotsylvania NMP,Virginia,Fredericksburg & Spotsylvania NMP,"969,895",8.74%,"27,092,480",16.53%
Virginia George Washington Birthplace NM,Virginia,George Washington Birthplace NM,"129,750",-0.92%,"27,092,480",16.53%
Virginia George Washington MEM PKWY,Virginia,George Washington MEM PKWY,"10,323,339",41.68%,"27,092,480",16.53%
Virginia LBJ Memorial Grove on the Potomac,Virginia,LBJ Memorial Grove on the Potomac,"260,234",11.75%,"27,092,480",16.53%
Virginia Maggie L. Walker NHS,Virginia,Maggie L. Walker NHS,"9,589",26.35%,"27,092,480",16.53%
Virginia Manassas NBP,Virginia,Manassas NBP,"534,835",6.53%,"27,092,480",16.53%
Virginia Petersburg NB,Virginia,Petersburg NB,"191,898",-0.39%,"27,092,480",16.53%
Virginia Prince William Forest Park,Virginia,Prince William Forest Park,"344,435",10.36%,"27,092,480",16.53%
Virginia Richmond NBP,Virginia,Richmond NBP,"208,969",13.46%,"27,092,480",16.53%
Virginia Shenandoah NP,Virginia,Shenandoah NP,"1,437,341",8.74%,"27,092,480",16.53%
Virginia Theodore Roosevelt Island,Virginia,Theodore Roosevelt Island,"164,360",2.89%,"27,092,480",16.53%
Virginia Wolf Trap NP for the Performing Arts,Virginia,Wolf Trap NP for the Performing Arts,"437,513",7.40%,"27,092,480",16.53%
Washington Fort Vancouver NHS,Washington,Fort Vancouver NHS,"1,092,031",33.39%,"8,522,006",11.04%
Washington Klondike Gold Rush NHP Seattle,Washington,Klondike Gold Rush NHP Seattle,"69,435",15.01%,"8,522,006",11.04%
Washington Lake Chelan NRA,Washington,Lake Chelan NRA,"45,514",41.41%,"8,522,006",11.04%
Washington Lake Roosevelt NRA,Washington,Lake Roosevelt NRA,"1,253,571",7.07%,"8,522,006",11.04%
Washington Manhattan Project NHP,Washington,Manhattan Project NHP,"13,987",,"8,522,006",11.04%
Washington Mount Rainier NP,Washington,Mount Rainier NP,"1,356,913",9.67%,"8,522,006",11.04%
Washington North Cascades NP,Washington,North Cascades NP,"28,646",38.54%,"8,522,006",11.04%
Washington Olympic NP,Washington,Olympic NP,"3,390,221",3.87%,"8,522,006",11.04%
Washington Ross Lake NRA,Washington,Ross Lake NRA,"905,418",17.19%,"8,522,006",11.04%
Washington San Juan Island NHP,Washington,San Juan Island NHP,"316,122",22.21%,"8,522,006",11.04%
Washington Whitman Mission NHS,Washington,Whitman Mission NHS,"50,148",26.88%,"8,522,006",11.04%
West Virginia Bluestone NSR,West Virginia,Bluestone NSR,"34,139",-7.06%,"1,683,649",4.98%
West Virginia Gauley River NRA,West Virginia,Gauley River NRA,"115,888",9.98%,"1,683,649",4.98%
West Virginia Harpers Ferry NHP,West Virginia,Harpers Ferry NHP,"335,691",18.66%,"1,683,649",4.98%
West Virginia New River Gorge NP & PRES,West Virginia,New River Gorge NP & PRES,"1,197,931",1.63%,"1,683,649",4.98%
Wisconsin Apostle Islands NL,Wisconsin,Apostle Islands NL,"183,796",-21.00%,"537,925",-1.16%
Wisconsin Saint Croix NSR,Wisconsin,Saint Croix NSR,"354,129",13.66%,"537,925",-1.16%
Wyoming Bighorn Canyon NRA,Wyoming,Bighorn Canyon NRA,"119,363",5.84%,"7,461,666",2.91%
Wyoming Devils Tower NM,Wyoming,Devils Tower NM,"496,210",3.63%,"7,461,666",2.91%
Wyoming Fort Laramie NHS,Wyoming,Fort Laramie NHS,"57,444",11.29%,"7,461,666",2.91%
Wyoming Fossil Butte NM,Wyoming,Fossil Butte NM,"20,737",7.48%,"7,461,666",2.91%
Wyoming Grand Teton NP,Wyoming,Grand Teton NP,"3,270,076",3.81%,"7,461,666",2.91%
"Wyoming John D. Rockefeller, Jr. MEM PKWY",Wyoming,"John D. Rockefeller, Jr. MEM PKWY","1,411,819",-1.29%,"7,461,666",2.91%
Wyoming Yellowstone NP,Wyoming,Yellowstone NP,"2,086,017",3.89%,"7,461,666",2.91%
